ID,AUTHOR_ID,LINK,CONTENT,ZAN,ZHUANFA,PINGLUN,TIME
45,1,https://www.facebook.com/ChinaGlobalTVNetwork/posts/499410394885771,The effects of climate change are being felt in all arenas all over the world. How are the rising temperatures affecting winter sports athletes training in the U.S.?#CGTNAmerica,77,3,0,2022-01-21 04:25:47
46,1,https://www.facebook.com/ChinaGlobalTVNetwork/posts/499537814873029, There’s nothing else to say other than….https://stories.cgtneurope.tv/waiting-for-the.../index.html#Beijing2022,38,1,0,2022-01-21 04:25:54
47,1,https://www.facebook.com/watch/?v=1010504266207769, There’s nothing else to say other than….…展开,32,2702,6683,2022-01-16 13:25:59
48,1,https://www.facebook.com/ChinaGlobalTVNetwork/posts/499537708206373,Faster Higher Stronger Together #Beijing2022Read more: https://stories.cgtneurope.tv/waiting-for-the.../index.html,37,2,0,2022-01-21 04:26:05
49,1,https://www.facebook.com/watch/?v=296679789150999,Faster Higher Stronger Together #Beijing2022Read more: https://stories.cgtneurope.tv/waiting-for-the.../index.html收起,40,6468,1,2022-01-16 13:26:12
50,1,https://www.facebook.com/ChinaGlobalTVNetwork/posts/499537164873094,#WATCHNOW: Thousands gathered in #Athens to show opposition to what they say are inadequate coronavirus protection measures in schools. Evangelos Sipsas explains ,50,0,0,2022-01-21 04:26:19
51,1,https://www.facebook.com/ChinaGlobalTVNetwork/posts/499537018206442,#WATCHNOW: Teenage pilot Zara Rutherford completes solo round-world record.,40,0,0,2022-01-21 04:26:25
52,1,https://www.facebook.com/ChinaGlobalTVNetwork/posts/499536431539834,This coral reef off the coast Tahiti has managed to escape the worst of global warming. WATCH the video to find out more!,48,0,0,2022-01-21 04:26:30
53,1,https://www.facebook.com/watch/?v=463206145524582,??This coral reef off the coast Tahiti has managed to escape the worst of global warming. WATCH the video to find out more!收起,10,435,6683,2022-01-21 03:26:37
54,1,https://www.facebook.com/ChinaGlobalTVNetwork/posts/499536271539850,"“To describe it: it looked like there was a war happening in the background,”What happened on Earth when the Tongan volcano erupted underwater? A woman who was on the phone with her family shares the dramatic moments of the eruption in the South Pacific.",31,1,0,2022-01-21 04:26:43
55,1,https://www.facebook.com/ChinaGlobalTVNetwork/posts/499535648206579, CGTNEurope's new TikTok channel @ourplanetneedsyou is about you and the Earth we all share.  Climate Change is affecting everyone's lives - changing the countryside around us; what we eat; how we travel; how safe we all are. Here you can learn about the problems and be the solution: https://www.tiktok.com/@ourplanetneedsyou   ·,18,2,0,2022-01-21 04:26:55
56,1,https://www.facebook.com/ChinaGlobalTVNetwork/posts/499534011540076,"In the midst of a pandemic and a struggling economy, U.S President Joe Biden entered the Oval Office. So what’s happened in the last year since he became president? During his first year, Biden signed 77 executive orders, significantly more than previous presidents. But, while Biden has managed to pass some of his key legislations, others have been locked within Congress. Here’s a look at some of the bills and executive orders he signed in 2021. With limited time until the midterm elections, Biden says his priorities for 2022 will continue to be COVID-19, the economy, voting rights and foreign policy. Will he be able to push these initiatives through? #usa #Biden #president #WhiteHouse #politics #COVID19 #economy #cgtnamerica",344,13,19,2022-01-21 04:27:04
